País,Coeficiente_Angular,Coeficiente_Linear,Equacao_Linear
São Cristóvão e Névis,1.1750000000000003,-2365.6666666666674,y = 1.18x + -2365.67
São Tomé e Príncipe,32.43571428571429,-65087.66666666668,y = 32.44x + -65087.67
São Vicente e Granadinas,6.9714285714285715,-14034.066666666666,y = 6.97x + -14034.07
Senegal,0.0,0.0,y = 0.00x + 0.00
Serra Leoa,2716.782142857143,-5468530.399999999,y = 2716.78x + -5468530.40
Singapura,1352.9999999999998,-2723492.7999999993,y = 1353.00x + -2723492.80
Suazilândia,0.6071428571428572,-1221.7333333333336,y = 0.61x + -1221.73
Suécia,-2716.9964285714286,5499823.733333333,y = -2717.00x + 5499823.73
Suíça,-4074.1714285714293,8268177.6000000015,y = -4074.17x + 8268177.60
Suriname,-95.98571428571421,198794.26666666652,y = -95.99x + 198794.27
Tailândia,197.68214285714288,-397801.6000000001,y = 197.68x + -397801.60
Taiwan (Formosa),302.98214285714295,-587568.4666666669,y = 302.98x + -587568.47
Tanzânia,0.0,0.0,y = 0.00x + 0.00
"Tcheca, República",-2435.760714285715,4933482.466666668,y = -2435.76x + 4933482.47
Togo,1984.125,-3994221.8666666667,y = 1984.12x + -3994221.87
Toquelau,0.325,-654.3333333333334,y = 0.33x + -654.33
Trinidade Tobago,-60.442857142857136,122200.19999999998,y = -60.44x + 122200.20
Tunísia,0.0,0.0,y = 0.00x + 0.00
Turquia,3136.7785714285715,-6315312.199999999,y = 3136.78x + -6315312.20
Tuvalu,0.08571428571428572,-172.4,y = 0.09x + -172.40
Uruguai,59768.885714285716,-120307884.46666667,y = 59768.89x + -120307884.47
Vanuatu,0.6999999999999998,-1407.933333333333,y = 0.70x + -1407.93
Venezuela,11432.832142857143,-23014863.933333334,y = 11432.83x + -23014863.93
Vietnã,-451.092857142857,910937.333333333,y = -451.09x + 910937.33
